ID,Việc cần làm,Loại,Ưu tiên,Tài liệu liên quan,Code / Bằng chứng,Phụ thuộc,Trạng thái,Ghi chú
W1,"Hợp nhất 2 bootstrap path — để game đang chạy (GameApp) thực sự gọi SaveService + IdleService",Code,🔴 Critical,"implementation-gaps.md (C-1); systems-index.md (High-Risk)","GameAppBootstrap.cs:16; GameApp.cs:132,109; AppBootstrap.cs:54","—",Open,"Game hiện chạy KHÔNG lưu / KHÔNG offline. Việc số 1."
W2,"Nối happy_mult vào EconomyService (clamp(0.4+avgWelfare/100,0.5,1.4)) — phục hồi link chăm-sóc→thu nhập",Code,🔴 Critical,"implementation-gaps.md (C-2); zoo-economy.md; animal-care.md; registry happy_mult","EconomyService.cs:74,88; CareService.AvgHappiness:109","—",Open,"Chăm sóc hiện không ảnh hưởng income → core loop idle gãy."
W3,"Author AnimalDatabase SO: 29 loài + appeal ladder 3→3000 (thay roster dev 12 loài)",Content,🟠 High,"animal-database.md; registry appeal_ladder","DefaultAnimalData.cs:28; AnimalDef.cs; AnimalDatabase.cs","—",Open,"Hiện 0 file .asset; production sẽ fail nếu chưa author."
W4,"Wire TuningConfig SO vào các service (bỏ const hardcode)",Code,🟠 High,"ADR-0006 (content SO)","TuningConfig.cs; mỗi service block const","W3",Open,"TuningConfig hiện chỉ là bản sao song song, không phải nguồn chuẩn."
W5,"Implement Taming/Trust: ghi/đọc Trust, gain theo action, thresholds (petting/perform/thriving)",Code+Design,🟠 High,"taming.md; registry trust_*","AnimalMeters.cs:10 (Trust unused); CareService.DoAction:68","W1",Open,"Trust khai báo nhưng không bao giờ ghi/đọc → taming chưa tồn tại."
W6,"Implement AttractionService.Build() + AttractionDef data (bỏ build hardcode trong UI)",Code,🟠 High,"attractions.md","AttractionService.cs:38 (stub return false); GameApp.cs:1276","W3,W4",Open,"Service rỗng; build đang nằm ở UI."
W7,"Serialize AnimalMeters/trust trong SaveBlob (hoặc bump schema + migration)",Code,🟠 High,"save-load.md; ADR-0004; implementation-gaps.md (C-9)","SaveService.cs:143","W1,W5",Open,"v1 bỏ meters → trust/meters reset khi load."
W8,"Quyết định reconcile các điểm LỆCH: gold_start 50 vs 200; unlock free vs tốn gold; XP curve linear vs geometric; care free vs tier-cost",Decision,🟠 High,"registry (gold_start, unlock_gold_cost, level_xp_curve, care_action_cost_tier_mult); zoo-level.md; animal-collection.md; animal-care.md","GameApp.cs:136; CollectionService.cs:40; LevelService.cs:23; CareService.cs:68","—",Open,"Quyết registry-đúng hay code-đúng, rồi sửa 1 phía cho khớp."
W9,"Implement daily missions + gem faucet (Fe6) — gem economy hiện = 0",Code+Design,🟡 Medium,"quests-missions.md; registry daily_gem_faucet","QuestService.cs:12 (stub reward, no gems)","W7",Open,"VIP 2× gems đang nhân 0."
W10,"Biome system + VIP offline cap (hoặc defer + relabel)",Design+Code,🟡 Medium,"habitat-system.md; idle-offline.md; registry biome_unlock_levels, offline_cap_vip_sec","(không có ref trong code)","W3",Open,"Cả 2 designed nhưng absent."
W11,"Backfill unit test cho 9 service chưa test (chỉ EconomyService.GoldPerSec có test)",Test,🟡 Medium,"tests/README.md; coding-standards","Assets/Tests/EditMode/EconomyFormulas_GoldPerSec_Test.cs","—",Open,"9/10 service không test."
W12,"Wire Reputation (Fe8) vào C2 hoặc defer + bỏ nhãn dối '+18% reputation'",Design,🟡 Medium,"currency-system.md; attractions.md; registry rep","(rep field, không công thức đọc)","W2",Open,"Currency rep trơ."
W13,"Author GDD Fe5 Performance (gắn owner show-reward) + reconcile attraction key 'arena' vs 'perform'",Design,🟡 Medium,"taming.md (C-W1); attractions.md; systems-index.md","GameApp.cs (key 'arena')","—",Open,"Fe5 chưa có GDD; công thức show-reward mồ côi."
W14,"Author UX spec cho P1–P7 (HUD/screens) — hiện screen C# là stub",Design,🟡 Medium,"design/ux/*; ADR-0007","UI/*Screen.cs (stub rỗng); GameApp.cs monolith","W1",Open,"0/7 presentation system có UX spec."
W15,"Chạy /balance-check: cost mults, ROI, pacing 90-ngày; chốt số cho economy-redesign",Balance,🟡 Medium,"economy-redesign.md (OQ-1 BLOCKER); balance-check-economy-2026-06-06.md","(formula consts trong service)","W3",Open,"economy-redesign chờ số để unblock + link vào index."
W16,"Doc hygiene: rename traceability-matrix→requirements-traceability; sửa path chết quests.md; bỏ stale '(not yet authored)' tags",Doc,🟢 Low,"traceability-matrix.md; zoo-level.md; nhiều GDD","—","—",Open,"Carry-forward từ gate-check + cross-review (C-W2/C-W3)."
