PACING BY PROFILE — months to reach

Milestone,Casual (x0.45),Engaged (x1.0),Max (x1.9),Content
Lv7,0.1 mo,0.1 mo,0.1 mo,Petting Area; daily missions
Lv18,0.5 mo,0.3 mo,0.2 mo,Feeding Zone; Day/Night
Lv30,1.8 mo,0.9 mo,0.5 mo,Animal Rides
Lv45,4.2 mo,2.0 mo,1.1 mo,Performance Arena
Lv60,7.3 mo,3.4 mo,1.8 mo,"Brown Bear, Polar Peaks"
Lv75,10.0 mo,4.6 mo,2.5 mo,
Lv92,13.1 mo,6.0 mo,3.3 mo,Dolphin (endgame)

Solved faucet scale S =,1431
Curve ratio G =,1.0694
Engaged Lv92 (days) =,180
Casual Lv92 (days) =,394
Max Lv92 (days) =,98
