XP FAUCET — FULL PER-LEVEL TABLE (target Lv92 in 180 days)
P(level) = round(1431 * 1.0694^level)

Level,LEVEL_XP,Delta to next,P(L) pool,Education/day (0.60*P),Daily mission each (0.05*P),Daily missions x5 (0.25*P),Show XP (level),Weekly (0.90*P),Event (4*P),Care/day,Engaged XP/day total,Day reached (engaged)
1,0,101,1530,918,77,383,126,1377,6120,15,1946,0
2,101,363,1636,982,82,409,132,1472,6544,15,2080,1
3,464,666,1750,1050,88,438,138,1575,7000,30,2238,1
4,1130,1000,1871,1123,94,468,144,1684,7484,30,2391,1
5,2130,1350,2001,1201,100,500,150,1801,8004,45,2570,1
6,3480,1720,2140,1284,107,535,156,1926,8560,60,2760,2
7,5200,1090,2288,1373,114,572,162,2059,9152,60,2948,2
8,6290,1310,2447,1468,122,612,168,2202,9788,75,3163,2
9,7600,1590,2617,1570,131,654,174,2355,10468,75,3377,2
10,9190,1910,2798,1679,140,700,180,2518,11192,75,3606,3
11,11100,2300,2992,1795,150,748,186,2693,11968,90,3866,3
12,13400,2900,3200,1920,160,800,192,2880,12800,90,4128,3
13,16300,3300,3422,2053,171,856,198,3080,13688,105,4423,4
14,19600,4200,3659,2195,183,915,204,3293,14636,105,4722,4
15,23800,4900,3913,2348,196,978,210,3522,15652,120,5058,5
16,28700,6000,4184,2510,209,1046,216,3766,16736,120,5400,6
17,34700,7300,4474,2684,224,1119,222,4027,17896,135,5781,7
18,42000,6000,4785,2871,239,1196,228,4307,19140,135,6173,8
19,48000,6900,5117,3070,256,1279,234,4605,20468,135,6592,9
20,54900,7900,5472,3283,274,1368,240,4925,21888,150,7055,10
21,62800,9000,5851,3511,293,1463,246,5266,23404,150,7534,11
22,71800,10300,6257,3754,313,1564,252,5631,25028,150,8046,13
23,82100,11800,6691,4015,335,1673,258,6022,26764,165,8608,14
24,93900,13100,7155,4293,358,1789,264,6440,28620,165,9194,15
25,107000,16000,7651,4591,383,1913,270,6886,30604,180,9835,17
26,123000,17000,8182,4909,409,2046,276,7364,32728,180,10505,18
27,140000,21000,8749,5249,437,2187,282,7874,34996,180,11221,20
28,161000,23000,9356,5614,468,2339,288,8420,37424,195,12002,22
29,184000,26000,10005,6003,500,2501,294,9005,40020,195,12821,24
30,210000,23000,10699,6419,535,2675,300,9629,42796,195,13696,26
31,233000,25000,11441,6865,572,2860,306,10297,45764,195,14633,28
32,258000,28000,12235,7341,612,3059,312,11012,48940,210,15649,29
33,286000,31000,13083,7850,654,3271,318,11775,52332,210,16720,31
34,317000,34000,13991,8395,700,3498,324,12592,55964,210,17865,33
35,351000,38000,14961,8977,748,3740,330,13465,59844,210,19090,35
36,389000,42000,15999,9599,800,4000,336,14399,63996,225,20414,37
37,431000,47000,17109,10265,855,4277,342,15398,68436,225,21815,39
38,478000,51000,18295,10977,915,4574,348,16466,73180,225,23312,41
39,529000,57000,19564,11738,978,4891,354,17608,78256,225,24913,44
40,586000,64000,20921,12553,1046,5230,360,18829,83684,240,26641,46
41,650000,70000,22372,13423,1119,5593,366,20135,89488,240,28472,48
42,720000,78000,23924,14354,1196,5981,372,21532,95696,240,30430,51
43,798000,86000,25584,15350,1279,6396,378,23026,102336,240,32524,53
44,884000,96000,27358,16415,1368,6840,384,24622,109432,255,34778,56
45,980000,90000,29256,17554,1463,7314,390,26330,117024,255,37173,59
46,1070000,100000,31285,18771,1564,7821,396,28157,125140,255,39733,61
47,1170000,100000,33455,20073,1673,8364,402,30110,133820,255,42472,64
48,1270000,120000.00000000023,35775,21465,1789,8944,408,32198,143100,270,45415,66
49,1390000.0000000002,120000,38256,22954,1913,9564,414,34430,153024,270,48546,69
50,1510000.0000000002,140000,40910,24546,2046,10228,420,36819,163640,270,51894,71
51,1650000.0000000002,150000,43747,26248,2187,10937,426,39372,174988,270,55475,74
52,1800000.0000000002,160000,46782,28069,2339,11696,432,42104,187128,270,59304,77
53,1960000.0000000002,179999.99999999977,50026,30016,2501,12507,438,45023,200104,270,63398,80
54,2140000,190000,53496,32098,2675,13374,444,48146,213984,285,67792,82
55,2330000,210000,57207,34324,2860,14302,450,51486,228828,285,72474,85
56,2540000,240000.00000000047,61174,36704,3059,15294,456,55057,244696,285,77481,88
57,2780000.0000000005,250000,65417,39250,3271,16354,462,58875,261668,285,82836,91
58,3030000.0000000005,270000,69955,41973,3498,17489,468,62960,279820,285,88561,94
59,3300000.0000000005,300000,74807,44884,3740,18702,474,67326,299228,285,94684,97
60,3600000.0000000005,250000,79995,47997,4000,19999,480,71996,319980,300,101246,101
61,3850000.0000000005,270000,85544,51326,4277,21386,486,76990,342176,300,108248,103
62,4120000.0000000005,279999.99999999953,91477,54886,4574,22869,492,82329,365908,300,115735,106
63,4400000,310000,97822,58693,4891,24456,498,88040,391288,300,123742,108
64,4710000,320000,104607,62764,5230,26152,504,94146,418428,300,132304,111
65,5030000,350000.00000000093,111862,67117,5593,27966,510,100676,447448,300,141459,113
66,5380000.000000001,380000,119621,71773,5981,29905,516,107659,478484,315,151265,116
67,5760000.000000001,400000,127918,76751,6396,31980,522,115126,511672,315,161735,118
68,6160000.000000001,420000,136790,82074,6840,34198,528,123111,547160,315,172931,121
69,6580000.000000001,460000,146278,87767,7314,36570,534,131650,585112,315,184904,123
