STT,Đường dẫn,Nhóm,Loại,Tiêu đề,Mục đích,Trạng thái,Cần làm gì (→ workflow)
1,CLAUDE.md,Root,Config,"Game Studio Agent Architecture","Cấu hình master: stack Unity 6.3, 49 agent, rules, collaboration protocol","—","—"
2,README.md,Root,Readme,"zoo-management","README repo","—","—"
3,RUN-GAME.md,Root,Guide,"Animal World Zoo — How to run","Hướng dẫn chạy/build game","—","—"
4,design/gdd/game-concept.md,Design,Concept,"Animal World Zoo — Game Concept","Tầm nhìn, pillars, core loop, 90-day journey, định nghĩa MVP","reverse-documented","—"
5,design/gdd/systems-index.md,Design,Index,"Systems Index","Danh mục 26 hệ thống + dependency map + design order + progress (đã sync C#)","Approved","Theo dõi W1, W2 (high-risk: dual-path + happy_mult)"
6,design/gdd/economy-redesign.md,Design,Proposal,"Economy Redesign — sinks + day/night rhythm","Đề xuất redesign sink theo vai trò + nhịp visitor ngày/đêm","proposed-redesign","W15: /balance-check chốt số rồi link vào index"
7,design/gdd/animal-database.md,Design,GDD (F1),"Animal Database","Dữ liệu gốc loài: appeal ladder, tier, unlock level","In Design","W3: author 29-loài SO (hiện 12 dev)"
8,design/gdd/currency-system.md,Design,GDD (F2),"Currency System","5 loại tiền, balance khởi đầu, sink/faucet","In Design","W8 (gold_start 50 vs 200), W12 (rep trơ)"
9,design/gdd/save-load.md,Design,GDD (F3),"Save / Load System","Schema save JSON có version + migration + persistence","In Design","W7: serialize meters/trust; W1: wiring"
10,design/gdd/animal-care.md,Design,GDD (C1),"Animal Care System","Vòng chăm sóc, decay, actions, welfare → happiness","Reverse-Documented","W2 (happy_mult), W8 (care free vs tier-cost)"
11,design/gdd/zoo-economy.md,Design,GDD (C2),"Zoo Economy","Chuỗi appeal → visitor → gold; happyMult","reverse-documented","W2: nối happy_mult vào EconomyService"
12,design/gdd/zoo-level.md,Design,GDD (C3),"Zoo Level Progression","XP, 92 level, content gate","In Design (Reverse-Documented)","W8: reconcile XP curve (linear vs geometric)"
13,design/gdd/taming.md,Design,GDD (C4),"Taming System","Trust meter, gate Petting/Performance, show-reward","Partial — Reverse-Documented","W5: implement trust; W13: owner show-reward"
14,design/gdd/animal-collection.md,Design,GDD (Fe1),"Animal Collection System","Mở khoá & mua thêm loài, gate theo level","In Design (Reverse-Documented)","W8: unlock free vs tốn gold"
15,design/gdd/habitat-system.md,Design,GDD (Fe2),"Habitat System","Biome + nâng cấp chuồng (Lv1-5), gold sink chính","In Design (Reverse-Documented)","W10: biome system chưa có trong code"
16,design/gdd/enrichment.md,Design,GDD (Fe3),"Enrichment System","Enrichment mỗi con: +appeal/+happy/+trust, cap Lv5","In Design (Reverse-Documented)","— (khớp code)"
17,design/gdd/attractions.md,Design,GDD (Fe4),"Attractions System","5 công trình: revenue/capacity multiplier, level gate","In Design (Reverse-Documented)","W6 (service Build stub), W13 (key arena/Fe5)"
18,design/gdd/quests-missions.md,Design,GDD (Fe6),"Quests and Missions System","Nhiệm vụ ngày/tuần, gem faucet, idempotent claim","In Design (Reverse-Documented)","W9: daily missions + gem faucet"
19,design/gdd/idle-offline.md,Design,GDD (Fe7),"Idle / Offline Earnings System","Tích gold offline = min(elapsed,cap)×rate×0.60","In Design","W1 (offline không chạy), W10 (VIP cap)"
